Command_x,Command_y,Target_x,Target_y
1779990782.961026,255.1703376203,1779990782.961026,0.
1779990783.061026,255.1703376203,1779990783.061026,0.
1779990783.161026,255.1703376203,1779990783.161026,0.
1779990783.2610261,255.1703376203,1779990783.2610261,0.
1779990783.361026,255.1703376203,1779990783.361026,0.
1779990783.461026,255.1703376203,1779990783.461026,0.
1779990783.561026,255.1703376203,1779990783.561026,0.
1779990783.661026,255.1703376203,1779990783.661026,0.
1779990783.7610261,255.1703376203,1779990783.7610261,0.
1779990783.861026,255.1703376203,1779990783.861026,0.
1779990783.961026,255.1703376203,1779990783.961026,0.
1779990784.061026,255.1703376203,1779990784.061026,0.
1779990784.161026,255.1703376203,1779990784.161026,0.
1779990784.2610261,255.1703376203,1779990784.2610261,0.
1779990784.361026,255.1703376203,1779990784.361026,0.
1779990784.461026,255.1703376203,1779990784.461026,0.
1779990784.561026,255.1703376203,1779990784.561026,0.
1779990784.661026,255.1703376203,1779990784.661026,0.
1779990784.7610261,255.1703376203,1779990784.7610261,0.
1779990784.861026,255.1703376203,1779990784.861026,0.
1779990784.961026,255.1703376203,1779990784.961026,0.
1779990785.061026,255.1703376203,1779990785.061026,0.
1779990785.161026,255.1703376203,1779990785.161026,0.
1779990785.2610261,255.1703376203,1779990785.2610261,0.
1779990785.361026,255.1703376203,1779990785.361026,0.
1779990785.461026,255.1703376203,1779990785.461026,0.
1779990785.561026,255.1703376203,1779990785.561026,0.
1779990785.661026,255.1703376203,1779990785.661026,0.
1779990785.7610261,255.1703376203,1779990785.7610261,0.
1779990785.861026,255.1703376203,1779990785.861026,0.
1779990785.961026,255.1703376203,1779990785.961026,0.
1779990786.061026,255.1703376203,1779990786.061026,0.
1779990786.161026,255.1703376203,1779990786.161026,0.
1779990786.2610261,255.1703376203,1779990786.2610261,0.
1779990786.361026,255.1703376203,1779990786.361026,0.
1779990786.461026,255.1703376203,1779990786.461026,0.
1779990786.561026,255.1703376203,1779990786.561026,0.
1779990786.661026,255.1703376203,1779990786.661026,0.
1779990786.7610261,255.1703376203,1779990786.7610261,0.
1779990786.861026,255.1703376203,1779990786.861026,0.
1779990786.961026,255.1703376203,1779990786.961026,0.
1779990787.061026,255.1703376203,1779990787.061026,0.
1779990787.161026,255.1703376203,1779990787.161026,0.
1779990787.2610261,255.1703376203,1779990787.2610261,0.
1779990787.361026,255.1703376203,1779990787.361026,0.
1779990787.461026,255.1703376203,1779990787.461026,0.
